# =====================================
# CVE DATABASE OFFLINE - HIGH IMPACT
# =====================================
# Formato: CVE-ID|Servicio|Versión afectada|Severidad|Descripción

# SSH Vulnerabilities
CVE-2024-6387|OpenSSH|8.5p1-9.8p1|CRITICAL|RegreSSHion - Remote Unauthenticated Code Execution
CVE-2016-20012|OpenSSH|<7.5|HIGH|User enumeration via timing attack
CVE-2015-5600|OpenSSH|<6.9|HIGH|Brute force attack via keyboard-interactive
CVE-2014-2532|OpenSSH|<6.6|HIGH|AcceptEnv wildcard privilege escalation

# Apache Vulnerabilities
CVE-2017-7679|Apache|2.2.0-2.2.33, 2.4.0-2.4.26|CRITICAL|Buffer overflow in mod_mime
CVE-2014-0226|Apache|2.4.7|CRITICAL|Race condition in mod_status
CVE-2014-0098|Apache|2.4.7|HIGH|Denial of service in mod_log_config
CVE-2013-6438|Apache|2.4.7|HIGH|Denial of service in mod_dav
CVE-2012-4558|Apache|2.4.7|MEDIUM|XSS in mod_proxy_balancer

# FTP Vulnerabilities
CVE-2011-2523|vsFTPd|2.3.4|CRITICAL|Backdoor remote code execution
CVE-2015-3306|ProFTPD|1.3.5|CRITICAL|Remote code execution in mod_copy
CVE-2020-9273|ProFTPD|1.3.7|CRITICAL|Use-after-free vulnerability

# SMB Vulnerabilities
CVE-2017-0144|SMBv1|Windows|CRITICAL|EternalBlue - Remote code execution
CVE-2017-0143|SMBv1|Windows|CRITICAL|EternalRomance - Remote code execution
CVE-2019-0708|RDP|Windows|CRITICAL|BlueKeep - Remote code execution

# Database Vulnerabilities
CVE-2012-5613|MySQL|5.5|HIGH|Privilege escalation via FILE privilege
CVE-2016-6662|MySQL|5.7|CRITICAL|Remote root code execution
CVE-2019-9193|PostgreSQL|9.3-11|CRITICAL|Remote code execution via COPY
CVE-2022-0543|Redis|5.0|CRITICAL|Lua sandbox escape RCE

# Web Server Vulnerabilities
CVE-2021-41773|Apache|2.4.49|CRITICAL|Path traversal and RCE
CVE-2021-42013|Apache|2.4.50|CRITICAL|Path traversal and RCE
CVE-2017-9798|Apache|2.2-2.4|HIGH|Optionsbleed - Memory disclosure

# WordPress Vulnerabilities
CVE-2017-1001000|WordPress|4.7-4.8|HIGH|Privilege escalation via REST API
CVE-2019-8943|WordPress|5.0|CRITICAL|Remote code execution via image
